project_title,project_objectives,start_date,end_date,ndp_pillar,primary_sector,reporting_agency,funders,implementers,implementer_category,mtdf,project_value,project_url,year,amount_disbursed,recipient
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2017,19846492,Galmudug
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2017,26113806,Puntland
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2017,14623731,South West
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2017,20891045,Somaliland
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2018,9325157,FGS
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2018,11190188,Benadir
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2018,17717798,Galmudug
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2018,23312891,Puntland
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2018,13055219,South West
"PRRO200844 - Preventative & Curative Nutrition
","Preventative nutrition programming, including education and supplementary feeding for pregnant and lactating women, incentives for women who access safe birthing facilities at clinics, Food support to malnourished HIV and TB-DOTS patients receiving treatment in facilities, Seasonal preventative supplementary feeding for all children under three years of age and PLWs, Targeted supplementary program that targets children 6-59 months and pregnant and lactating mothers who are moderately malnourished. A defined criteria is used for admission. Treatment is given together with nutrition and health education and community nutrition workers are attached to TSFP programs for doing regular screening,",1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners and Ministry Health,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2018,18650313,Somaliland
Peacekeeping Operations-Funded Support,"Capacity building of Somali military and Ministry of Defense to serve as a countervailing force to al-Shabaab and associated violent groups in Somalia. 
",NA,NA,Pillar 2: Security,Peacekeeping / Military (excluded from sector totals),USA,USA,"Contractors, Grantees, DoD",Mix of implementers - no government,Not funded through MDTF,383380766,NA,2016,81650000,FGS
Peacekeeping Operations-Funded Support,"Capacity building of Somali military and Ministry of Defense to serve as a countervailing force to al-Shabaab and associated violent groups in Somalia. 
",NA,NA,Pillar 2: Security,Peacekeeping / Military (excluded from sector totals),USA,USA,"Contractors, Grantees, DoD",Mix of implementers - no government,Not funded through MDTF,383380766,NA,2017,76100000,FGS
Internal Risk Facility,Rapid response to early warning and emergencies support,9/3/13,8/3/17,Pillar 8: Resilience,Lifesaving humanitarian - cross-cutting,UK,"DFID 
","Norwegian Refugee Council, Save the Children International, Concern World Wide, International Rescue Committee, CESVI",NGOs,Not funded through MDTF,98026316,http://devtracker.dfid.gov.uk/,2016,3289474,Benadir
Internal Risk Facility,Rapid response to early warning and emergencies support,9/3/13,8/3/17,Pillar 8: Resilience,Lifesaving humanitarian - cross-cutting,UK,"DFID 
","Norwegian Refugee Council, Save the Children International, Concern World Wide, International Rescue Committee, CESVI",NGOs,Not funded through MDTF,98026316,http://devtracker.dfid.gov.uk/,2016,3289474,Galmudug
Internal Risk Facility,Rapid response to early warning and emergencies support,9/3/13,8/3/17,Pillar 8: Resilience,Lifesaving humanitarian - cross-cutting,UK,"DFID 
","Norwegian Refugee Council, Save the Children International, Concern World Wide, International Rescue Committee, CESVI",NGOs,Not funded through MDTF,98026316,http://devtracker.dfid.gov.uk/,2016,4934211,Hiirshabelle
Internal Risk Facility,Rapid response to early warning and emergencies support,9/3/13,8/3/17,Pillar 8: Resilience,Lifesaving humanitarian - cross-cutting,UK,"DFID 
","Norwegian Refugee Council, Save the Children International, Concern World Wide, International Rescue Committee, CESVI",NGOs,Not funded through MDTF,98026316,http://devtracker.dfid.gov.uk/,2016,4934211,Jubaland
Internal Risk Facility,Rapid response to early warning and emergencies support,9/3/13,8/3/17,Pillar 8: Resilience,Lifesaving humanitarian - cross-cutting,UK,"DFID 
","Norwegian Refugee Council, Save the Children International, Concern World Wide, International Rescue Committee, CESVI",NGOs,Not funded through MDTF,98026316,http://devtracker.dfid.gov.uk/,2017,13684211,Benadir
Internal Risk Facility,Rapid response to early warning and emergencies support,9/3/13,8/3/17,Pillar 8: Resilience,Lifesaving humanitarian - cross-cutting,UK,"DFID 
","Norwegian Refugee Council, Save the Children International, Concern World Wide, International Rescue Committee, CESVI",NGOs,Not funded through MDTF,98026316,http://devtracker.dfid.gov.uk/,2017,13684211,Galmudug
Internal Risk Facility,Rapid response to early warning and emergencies support,9/3/13,8/3/17,Pillar 8: Resilience,Lifesaving humanitarian - cross-cutting,UK,"DFID 
","Norwegian Refugee Council, Save the Children International, Concern World Wide, International Rescue Committee, CESVI",NGOs,Not funded through MDTF,98026316,http://devtracker.dfid.gov.uk/,2017,20526316,Hiirshabelle
Internal Risk Facility,Rapid response to early warning and emergencies support,9/3/13,8/3/17,Pillar 8: Resilience,Lifesaving humanitarian - cross-cutting,UK,"DFID 
","Norwegian Refugee Council, Save the Children International, Concern World Wide, International Rescue Committee, CESVI",NGOs,Not funded through MDTF,98026316,http://devtracker.dfid.gov.uk/,2017,20526316,Jubaland
Internal Risk Facility,Rapid response to early warning and emergencies support,9/3/13,8/3/17,Pillar 8: Resilience,Lifesaving humanitarian - cross-cutting,UK,"DFID 
","Norwegian Refugee Council, Save the Children International, Concern World Wide, International Rescue Committee, CESVI",NGOs,Not funded through MDTF,98026316,http://devtracker.dfid.gov.uk/,2018,2631579,Benadir
Internal Risk Facility,Rapid response to early warning and emergencies support,9/3/13,8/3/17,Pillar 8: Resilience,Lifesaving humanitarian - cross-cutting,UK,"DFID 
","Norwegian Refugee Council, Save the Children International, Concern World Wide, International Rescue Committee, CESVI",NGOs,Not funded through MDTF,98026316,http://devtracker.dfid.gov.uk/,2018,2631579,Galmudug
Internal Risk Facility,Rapid response to early warning and emergencies support,9/3/13,8/3/17,Pillar 8: Resilience,Lifesaving humanitarian - cross-cutting,UK,"DFID 
","Norwegian Refugee Council, Save the Children International, Concern World Wide, International Rescue Committee, CESVI",NGOs,Not funded through MDTF,98026316,http://devtracker.dfid.gov.uk/,2018,3947369,Hiirshabelle
Internal Risk Facility,Rapid response to early warning and emergencies support,9/3/13,8/3/17,Pillar 8: Resilience,Lifesaving humanitarian - cross-cutting,UK,"DFID 
","Norwegian Refugee Council, Save the Children International, Concern World Wide, International Rescue Committee, CESVI",NGOs,Not funded through MDTF,98026316,http://devtracker.dfid.gov.uk/,2018,3947369,Jubaland
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2016,1434294,Benadir
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2016,2151441,Galmudug
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2016,1434294,Hiirshabelle
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2016,717147,Jubaland
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2016,3298875,Puntland
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2016,2151441,South West
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2016,3155446,Somaliland
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2017,3084841,Benadir
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2017,4627261,Galmudug
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2017,3084841,Hiirshabelle
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2017,1542421,Jubaland
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2017,7095133,Puntland
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2017,4627261,South West
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2017,6786649,Somaliland
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2018,7464180,Benadir
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2018,11196270,Galmudug
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2018,7464180,Hiirshabelle
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2018,3732090,Jubaland
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2018,17167614,Puntland
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2018,11196270,South West
PRRO200844 - Livelihood support for improved resilience,Food or cash for work or training activities that expand livelihood options and community infrastructures,1/3/16,12/3/18,Pillar 8: Resilience,Food Security,WFP,Pot,INGO and NGO partners,Mix of implementers - involving government,Not funded through MDTF,NA,NA,2018,16421196,Somaliland
Sector or General Budget Support - Turkey,Sector or General Budget Support reported by MoF on behalf of donors who have not reported to the aid mapping exercise,NA,NA,"Pillar 4: Effective, Efficient Institutions",Public Financial Management,MoF,Turkey,FGS,Government,NA,NA,NA,2016,10000000,FGS
Sector or General Budget Support - Turkey,Sector or General Budget Support reported by MoF on behalf of donors who have not reported to the aid mapping exercise,NA,NA,"Pillar 4: Effective, Efficient Institutions",Public Financial Management,MoF,Turkey,FGS,Government,NA,NA,NA,2017,29822785,FGS
Improve and maintain optimum child and maternal nutrition status for U5 boys and girls and PLWs by ensuring access to and utilization of a quality integrated Basic Nutrition Services Package in all regions of Somalia,"1. To contribute to the reduction of malnutrition related ailments and mortality among vulnerable boys, girls (6-59 months), pregnant and lactating women (PLW) through systematic equal access to quality integrated curative and preventive food-based nutrition interventions 2. To improve women, boys and girl’s access to evidence-based and feasible nutrition and nutrition related resilience activities, available through the Basic Nutrition Services Package (BNSP) interventions linking nutrition to Health, WASH, Food Security, Education and child protection programmes 3. To contribute to the availability of timely and quality community and health centre-based nutrition information, programme coverage and operational research (OR) into responses to the causes of malnutrition and related problems 4. To strengthen the coordination and capacity of all nutrition partners including communities and line ministries to deliver quality and sustainable emergency nutrition services through a variety of approaches",1/3/15,12/3/17,Pillar 7: Social & Human Development,Health,UNICEF,"UNICEF, USAID/Food for Peace/ OFDA, UNICEF, JAPAN, SIDA, ECHO, CHF, DFID, DENMARK, UNOCHA, CANADA/IHA , Micronutrient Initiative, UNICEF National Committees ( German , USA)","Over 100 partners (IMC, CESVI, TROCAIRE, SOS, IMC, ANPPCAN, PSI, IMC, INTERSOS, OXFAM, SOLNARDO, GEWDO, Mercy USA, TUOS, HIRDA, HIRDA, HOPEL, ANPPCAN, RAAS, PAC, IRC, SAMA, HIDIG, RAAS, BPPSC, EDRO, GEWDO, DMO, GRRN, HARD, SRCS, SCODO, HPA, WVI, SC, CISP, DHO, BHDC, BTSC, ACF, Save the Children,WARDI, SOADO,Zam Zam, HIDIG,SRDA, SAF UK, PAC )",NGOs,Not funded through MDTF,75790000,https://docs.unocha.org/sites/dms/CAP/CAP_2013_Somalia.pdf,2016,3918995,Benadir
Improve and maintain optimum child and maternal nutrition status for U5 boys and girls and PLWs by ensuring access to and utilization of a quality integrated Basic Nutrition Services Package in all regions of Somalia,"1. To contribute to the reduction of malnutrition related ailments and mortality among vulnerable boys, girls (6-59 months), pregnant and lactating women (PLW) through systematic equal access to quality integrated curative and preventive food-based nutrition interventions 2. To improve women, boys and girl’s access to evidence-based and feasible nutrition and nutrition related resilience activities, available through the Basic Nutrition Services Package (BNSP) interventions linking nutrition to Health, WASH, Food Security, Education and child protection programmes 3. To contribute to the availability of timely and quality community and health centre-based nutrition information, programme coverage and operational research (OR) into responses to the causes of malnutrition and related problems 4. To strengthen the coordination and capacity of all nutrition partners including communities and line ministries to deliver quality and sustainable emergency nutrition services through a variety of approaches",1/3/15,12/3/17,Pillar 7: Social & Human Development,Health,UNICEF,"UNICEF, USAID/Food for Peace/ OFDA, UNICEF, JAPAN, SIDA, ECHO, CHF, DFID, DENMARK, UNOCHA, CANADA/IHA , Micronutrient Initiative, UNICEF National Committees ( German , USA)","Over 100 partners (IMC, CESVI, TROCAIRE, SOS, IMC, ANPPCAN, PSI, IMC, INTERSOS, OXFAM, SOLNARDO, GEWDO, Mercy USA, TUOS, HIRDA, HIRDA, HOPEL, ANPPCAN, RAAS, PAC, IRC, SAMA, HIDIG, RAAS, BPPSC, EDRO, GEWDO, DMO, GRRN, HARD, SRCS, SCODO, HPA, WVI, SC, CISP, DHO, BHDC, BTSC, ACF, Save the Children,WARDI, SOADO,Zam Zam, HIDIG,SRDA, SAF UK, PAC )",NGOs,Not funded through MDTF,75790000,https://docs.unocha.org/sites/dms/CAP/CAP_2013_Somalia.pdf,2016,1192738,Galmudug
