date,year,target,fatalities,count,injuries,district,location,latitude,longitude,notes
6/20/17,2017,Civilians,17,1,18,Wadajir,Wadajir,2.0462,45.3341,"12:42EAT, Wadajir, Mogadishu: an al Shabaab vehicle-borne improvised explosive device (VBIED) was rammed against the Wadajir District Administration Headquarters. Seventeen people, including a number of government officials, died in the attack."
6/15/17,2017,Civilians,24,1,20,Hodan,Hodan,2.0333,45.35,"There was a complex two day attack at Posh Bar and Restaurant in Hodan District. A VBIED detonated at the entrance gate of the restaurant followed by gunfire inside the hotel. The explosion of the VBIED damaged the Pizza House Restaurant located opposite Posh Restaurant. At least seven al Shabaab fighters stormed into the restaurants, four entered Posh Restaurant while three hid in the Pizza House Restaurant. Security forces responded, cordoned off and cleared the area. Sporadic gunfire was heard from the area overnight. At least 17 people, mainly civilians, and seven al Shabaab fighters were killed (sources on 16/06 reported 31 total dead; civilian/militia breakdown not reported) while over 20 others were injured and rushed to hospitals. Al Shabaab claimed responsibility for the attack. Causality figures vary by source."
5/24/17,2017,Civilians,15,1,15,Xamar Jaabjab,Xamar Jaabjab,2.0276,45.33,"Between 6 - 8 people were killed and 15 others wounded by an al Shabaab car bomb explosion targeting a restaurant at Mogadishu's beach front. The IED was remotely donated. Later reports claimed 15 dead. (Voice of America (Washington, DC)"
5/8/17,2017,Civilians,7,1,10,Hodan,Hodan,2.0333,45.35,"08 May, 17:30EAT, Mogadishu: a vehicle-borne improvised explosive device (VBIED) detonated near the Immigration Headquarters along Makka al Mukarama road in Hodan district. Seven dead, ten injured. Al Shabaab claimed responsibility."
4/10/17,2017,Government,12,1,10,Wadajir,Wadajir,2.0462,45.3341,"10:15EAT, Warshada Nac-Naha, Banadir: an al Shabaab suicide bomber detonated his suicide vest inside a Somali military base near Jazeera Training Camp. It was reported the bomber was disguised as a military officer. Five soldiers reported killed from the blast. A second source claims 12 dead."
4/9/17,2017,Civilians,16,1,10,Daynile,Daynile,2.0581,45.3003,"12:30EAT, Ministry of Defence, Mogadishu: an al Shabaab suicide bomber attempted to ram his vehicle-borne improvised explosive device (VBIED) against the convoy of the commander in chief of the Somali National Armed Forces (SNAF). At least 15 people, including soldiers were killed by the blast."
4/5/17,2017,Civilians,8,2,1,Bondhere,Bondhere,2.0456,45.34,"A VBIED detonated at a restaurant near the Ministry of Internal security. At least eight deaths reported. Soonafter, al Shabaab claimed responsibility. Later in the day, a second explosion hit the Qatar embassy at KM-4 intersection, Hodan District injuring one civilian."
3/24/17,2017,Civilians,1,1,2,Xamar Weyne,Xamar Weyne,2.0337,45.34,"A vehicle-borne improvised explosive device (VBIED) exploded near Mogadishu's Nasa Hablood hotel, located near the National Theatre. At least one death reported. The type of VBIED (remote-controlled or suicide) is unconfirmed. It is currently assessed the VBIED was used on its own, and that no complex attack is ongoing. An attack in the same general area occurred three days prior. Al Shabaab suspected."
3/13/17,2017,Civilians,30,1,40,Howl Wadaag,Hawl Wadaag,2.048,45.32,"Al Shabaab attacked Hotel Wehliye in Mogadishu, Somalia on 13 March. The target of the attack was likely government officials, who were present at the time of the attack. At least 30 dead, 40 wounded. Al Shabaab later claimed responsibility."
2/19/17,2017,Civilians,40,1,40,Wadajir,Wadajir,2.0462,45.3341,A suspected al Shabaab car bombing at a Wadajir market kills 39 and injures others. The perpetrators were in the vehicle at the time of detonation.
1/25/17,2017,Civilians,38,2,51,Bondhere,Bondhere,2.0456,45.34,Al Shabaab suicide bomber rammed a vehicle loaded with explosives into a popular hotel in central Somali capital Mogadishu on 25/01. An eyewitness said a truck bomb went off at Dayah Hotel and heavily armed gunmen have fired their way into the ground. Another blast was heard just minutes after the first attack. At least five people are said to have been killed - numbers varied - (the number raised to 38 in the following weeks.)
1/2/17,2017,AMISOM,5,1,17,Wadajir,Medina,2.0205,45.2897,"An al Shabaab suicide car bomber targeted the Medina gate of Aden Adde airport, detonating near a Halane facility housing AMISOM and UN personnel. AMISOM gunfire responded to the blast. Three deaths reported. Soon after, a second bomber targeted the Peace Hotel, located at the far side of the airport, injuring civilians."
12/11/16,2016,Government,29,1,50,Xamar Jaabjab,Xamar Jaabjab,2.0276,45.33,"An al Shabaab suicide car-bomb targets a police post at the entrance of the Port of Mogadishu. At least 20 dead, plus the bomber - al Shabaab claims 30, other sources claim 29 with 50 injured. Police forces arrested a suspect the following week."
11/26/16,2016,Government,20,1,16,Waaberi,Waaberi,2.0195,45.31,A suspected car bomb has killed at least 11 people and injured another 16 when it exploded at a police checkpoint next to a busy market in Waberi. Medical sources told the news source the death toll could be as high as 30. Al Shabaab suspected as perpetrator. A later reported claimed 20 dead.
11/20/16,2016,Government,2,1,2,Shibis,Maana Bolyo,2.0414,45.3337,"Suspected al Shabaab conduct a bomb attack against police forces in Mogadishu, killing and injuring two."
11/5/16,2016,Government,20,1,10,Howl Wadaag,Sayidka,2.0414,45.3337,"Al Shabaab claims credit for a suicide car bombing targeting Somali forces at Sayidka junction, Mogadishu. ""Heavy causalities"" reported, later described as 20."
11/4/16,2016,Government,2,1,3,Xamar Weyne,Xamar Weyne,2.0337,45.34,"A suicide car bomber targeted an army convoy near parliament headquarters in Somalias capital on Saturday evening, killing two soldiers. Al Shabaab later claimed responsibility."
10/1/16,2016,Government,5,1,1,Bondhere,Godka Jilacow,2.0414,45.3337,"Suspected to be affiliated with al Shabaab, a suicide car bomber targets Godka Jiliow prison killing five. The prison is run by Somali National Intelligence and Security Agency."
9/18/16,2016,Government,8,1,10,Daynile,Daynile,2.0581,45.3003,"An al Shabaab SVBIED rammed into a SNAF convoy in Daynille, killing a senior commander and seven troops."
8/30/16,2016,Civilians,26,1,10,Wardhigley,Villa Somalia,2.0411,45.3368,A SVBIED detonated at a hotel near Villa Somalia. 26 dead. Al Shabaab later claimed responsibility.
8/25/16,2016,Civilians,8,1,10,Cabdicasiis,Abdul-Aziz,2.0405,45.36,"Al Shabaab gunmen stormed a restaurant in the Somali capital Mogadishu on Thursday and gunfire is ongoing after a suicide car bomb earlier exploded at the restaurant. Between 10-15 dead. The siege lead to a counter attack from security forces, where at least two soldiers died."
7/31/16,2016,Government,13,1,10,Hodan,Hodan,2.0333,45.35,"Al Shabaab fighters launched a complex attack against a police outpost in Hodan. Four police officers, five civilians, and four al Shabaab killed in the exchange of gunfire."
7/25/16,2016,AMISOM,13,1,10,Wadajir,Medina,2.0205,45.2897,At least 13 people were killed when two vehicles packed with explosives went off as they were driven towards a base for African Union troops in the Somali capital. The base is near a UN office. Al Shabaab later claimed responsibility asserting 27 dead. One of the bombers was later learned to be a former MP.
6/25/16,2016,Civilians,20,1,40,Bondhere,Hotel Naasa Hablood,2.0844,45.39,"Al Shabaab detonate a car bomb followed by a raid on Naasa Hablood hotel, which is often used by politicians, during the early morning hours. Between 11 and 14 initially thought dead, though the number was eventually raised to sixteen in the following days. Following the attack, security forces moved in a attempted to re-take the hotel. At least two al Shabaab dead in the counter attack."
6/2/16,2016,AMISOM,24,1,50,Waaberi,Waaberi,2.0195,45.31,"Al Shabaab launches a two day, overnight siege on the Ambassador Hotel in Mogadishu, killing fifteen, including two members of Parliament. Forty others injured. The two elected officials had duel British citizenship. AMISOM forces responded, killing all attackers, numbers not known."
5/19/16,2016,Civilians,5,1,10,Wardhigley,Traffic Police Headquarters,2.0549,45.33,"An unidentified suicide bomber struck a cafe in Wardhigley district on 19/05. Two confirmed dead, including the bomber. The target of the blast may have been SNG soldiers who frequent the business."
5/9/16,2016,Government,4,1,9,Cabdicasiis,Traffic Police Headquarters,2.07,45.37,"A suicide car bomber struck the entrance of Somalias traffic police headquarters in the capital on 09/05, killing four people and injuring nine others. Other sources claim between six and nine dead. Al Shabaab claimed responsibility for the attack."
4/11/16,2016,Civilians,5,1,7,Xamar Weyne,Xamar Weyne,2.0337,45.34,Five are dead in a al Shabaab car bomb explosion outside a restaurant near a local government headquarters in Hamar Weyne district on 11/04.
2/26/16,2016,Civilians,25,1,60,Xamar Weyne,Xamar Weyne,2.0337,45.34,"A vehicle loaded with explosives detonated between SYL Hotel and peace garden (Xamar Weyne District) in the night of 26/02 after NISA forces instructed the driver to stop at a checkpoint. After the explosion, gunmen tried to storm SYL hotel but they were stopped and killed by the hotel guards. Another car bomb exploded outside the nearby peace garden thirty minutes after the first explosion. Some of the Mogadishu families visits peace garden with their children on weekends. The attackers did not manage to enter SYL hotel due to the resistance of the hotel guards. Ministry of Internal Security released a statement and stated that five NISA personnel were killed in the first explosion. According to hospital sources, more than 15 civilians were killed in the attack and close to thirty others were injured. The security forces mentioned that the attackers were five in number, two drivers and three attackers. According to Police, the explosives were estimated to be 200kg, the biggest explosion Mogadishu experienced."
2/2/16,2016,Civilians,1,1,3,Waaberi,Airport,2.0414,45.3337,"A suicide-style bomb is detonated on a passenger Airbus 321 shortly after takeoff (at 11,000 feet) from Mogadishu. One death reported (the bomber), and the aircraft landed safely. The bomber may have been ridden a wheel-chair as an effort to conceal the explosive. In the week that followed al Shabaab claimed responsibility for the attack, stating the target of the attack was senior western officials. A passenger believed to be the bomber was killed, probably after being propelled out of the aircraft in the explosion, investigators said. Several other injuries reported. Twenty arrests were later arrested in connection with the attack."
1/21/16,2016,Civilians,25,1,50,Cabdicasiis,Liido Seafood and BeachView Restaurants,2.07,45.37,"A group of al Shabaab fighters launched a complex attack against Seafood and Beach View restaurants on 21/01. The attack began with a VBIED explosion at the entrance of the restaurants followed by around five attackers entering the restaurants from the beach side and firing at customers. Security guards from the restaurants engaged the al Shabaab fighters in a gun-fire exchange before NISA and Gaashaan forces arrived and took over the operation. Roughly an hour later, a second explosion (a suspected VBIED) happened outside of the restaurants but causing no casualties as the place was already cleared by NISA. Between 22:45 and 23:10, around six explosions of hand grenades were reported. Reports indicate that more than 25 people including a national UN staff and six attackers were killed and more than 50 others, including a national INGO staff were wounded."
1/2/16,2016,Civilians,2,1,4,Xamar Weyne,Xamar Weyne,2.0337,45.34,"Two people reportedly died, one of them the suicide bomber in an explosion that happened at a restaurant near the National Theatre in Mogadishu on 2 January. It is reported that four other people were injured in the explosion. Some of the injured work for the Somali government and the rest are civilians who were taking tea at the restaurant. There was no immediate claim of responsibility but officials will likely blame the Al-Shabaab group."
12/19/15,2015,Government,4,1,9,Wardhigley,Mogadishu,2.0414,45.3337,"At least four people were killed and nine wounded on 19/12 in a gun attack on a government official in Somalias capital Mogadishu that was followed shortly afterwards by a car bombing. Witnesses said gunmen opened fire on a senior government official on a road leading to the presidential palace, injuring him and sparking a gun battle with his security guards. Though no group was claimed responsibility, al Shabaab are suspected as the perpetrator."
11/1/15,2015,Civilians,25,1,10,Wadajir,Medina,2.0205,45.2897,"A mini-bus loaded with explosives detonated at the main gate of Sahafi Hotel (Wadajir/Medina District) in the morning of 01/11 with unidentified number of al Shabaab gunmen storming the hotel as they exchanged gunfire with the security guards. A suicide bomber detonated a second set of explosive inside the hotel about 30 minutes later. NISAs especial operation unit called Gaashaan was deployed to the scene to battle with the militants. The siege lasted for more than four hours after which the AMISOM/SNG forces concluded the operation. The hotel is often frequented by Somali government officials, business executives and it has been also targeted before where two French security advisers were abducted from the hotel by al Shabaab fighters back in 2009. At least 15 people were killed (later estimated at 25), including the owner of the hotel, a parliamentarian and the attackers while score others were injured. Al Shabaab fighters immediately claimed responsibility for the attack."
9/21/15,2015,Civilians,10,1,20,Wardhigley,Warta Nabada,2.0549,45.33,A suspected al Shabaab suicide bomber targeted the Presidential Palace on 21/09 killing at least ten and injuring 20. Some reports have the death toll at 13. At least two of the victims were Polish.
8/8/15,2015,Civilians,1,1,1,Xamar Weyne,MLT Hooyooyinka,2.0414,45.3337,"An al Shabaab suicide vest detonates prematurely in Mogadishu (neighbourhood unknown), killing the attacker, no other casualties reported."
7/26/15,2015,Civilians,16,1,20,Wadajir,Medina,2.0205,45.2897,"A small truck, laden with explosives detonated near the entrance gate of Jazeera Hotel on the airport road on 26/07. The huge explosion was followed by some gun-fire from hotel and other guards in the area. Initial reports indicate that at least 16 people (inside and outside the hotel) were killed and more than 20 were wounded. Al Shabaab claimed responsibility for the attack."
7/10/15,2015,Civilians,1,1,1,Xamar Jaabjab,Xamar Jaabjab,2.0276,45.33,A VBIED detonated in front of the Siyaad Hotel (Xamar Jab Jab District) in the evening of 10/07. The explosion was followed by serious exchange of gunfire between the hotel guards/ SNP force and the al Shabaab attackers. Reports show that the attackers were seven in number including the suicide. Security forces reinforced the scene and closed the whole area. Unconfirmed reports indicate that the attackers were aiming at Hotel SYL which is adjacent to Siyaad Hotel and that they diverted to Siyaad when the SYL Hotel guards fired them very seriously. Numbers of dead not known.
7/10/15,2015,Civilians,9,1,10,Howl Wadaag,Hawl Wadaag,2.048,45.32,Around five al Shabaab attackers launched a complex attack against Wehliye Hotel (Hawl-Wadaag District) and along the busy Maka Al Mukarama road in the evening of 10/07. The attack started with a car explosion (VBIED) followed by exchange of gunfire between the al Shabaab attackers on one side and the SNG forces and the hotel guards on the other side. The attackers did not manage to enter the hotel due to fierce resistant which was coming from the SNG forces/ Hotel guards. The fighting lasted for one hour and twenty minutes after which the security forces killed all the attackers and restored the order. Five people were killed in the attack and roughly ten others were injured. The four al Shabaab attackers were also killed. Two Federal MPs are among the injured.
6/24/15,2015,Government,9,1,10,Hodan,Hodan,2.0333,45.35,A SVBIED was targeting an UAE government convoy and detonated off the former military hospital which is adjacent to the UAE training facility in Hodan District on 24/06. Three soldiers and three civilian bystanders were killed while three more soldiers and two civilians were also injured. Later reports indicate nine dead. (Associated Press) The UAE officials escaped unscathed. Al Shabaab claimed responsibility for the attack and said UAE officials were the target.
6/21/15,2015,Government,7,1,10,Shibis,Shibis,2.0476,45.35,A vehicle loaded with explosives detonated at the entrance of NISA training centre in the vicinity of Maxfalka (Shibis District) in the morning of 21/06. Three al Shabaab attackers tried to enter the facility but NISA personnel opened gunfire against them. Four al Shabaab fighters and two civilians were killed during the armed clash; NISA also lost a soldier in the attack.
4/21/15,2015,Civilians,12,1,12,Bondhere,Bondhere,2.0456,45.34,"A VBIED targeted Banoda Restaurant, opposite Central Hotel in Boondheere District in the afternoon of 21/04. About 12 people were killed and dozens others injured. The restaurant was frequented by Somali Government officials, security officers and the diaspora. The perpetrators escaped. Al Shabaab claimed responsibility for the attack, saying that the restaurant is frequented by staff working at the presidential palace, other government staff and the diaspora."
4/14/15,2015,Government,21,1,15,Hodan,Hodan,2.0333,45.35,"Four suspected al Shabaab fighters dressed in SNG forces uniform carried out a complex attack on the Ministry of Culture and Higher Education compound near Zobe Junction (Hodan District) on 14/04. There was a suspected SVBIED explosion at the gate followed by armed men storming the building. The attackers threw hand grenades and exchanged gunfire with SNG police guarding the compound. NISAs Gaashan unit and AMISOM forces immediately arrived at the scene and engaged in gun battles with the attackers. Initial reports indicate that about 11 people, including two police officers and the attackers, have been killed. Al Shabaab has claimed responsibility for the attack. Among the injured was a Chinese diplomat. Later reports hold a total of 21 dead; six security operatives and 15 civilians (Xinhua)."
3/28/15,2015,Civilians,7,1,14,Hodan,Hodan,2.0333,45.35,"An al Shabaab attack on Maka Al-Mukarramah Hotel and subsequent battle with SNG forces begins at 4pm on 27/03 and lasts through the following morning. Several hostages were taken by the attackers, who numbered three. Causality figures vary, between 12 and 18, which included the death of the Somali ambassador to Switzerland. Later reports indicate the total dead numbered 14. Several more wounded. By the end of the siege military forces had regained control of the hotel."
2/20/15,2015,Civilians,28,1,54,Xamar Weyne,Xamar Weyne,2.0337,45.34,"Al Shabaab fighters carried out a complex attack in Central Hotel (Xamar Weyne District) in the afternoon of 20/02. The attack started with detonation of a vehicle laden with explosives close to the hotels mosque where worshipers were performing the Friday prayer. A suicide bomber then detonated her suicide vest during the confusion in the middle of the crowd who comprised of those that had survived the mosque attack and the public who rushed to help the wounded. The explosion was followed by a gunfight between the security forces and al Shabaab fighters. The hotel was packed with many people during the attack. At least 28 people were killed in this complex attack and 54 injured. Among those killed were SNG officials and an INGO national staff. Two INGO staffs were also injured in the attack. Al Shabaab immediately claimed responsibility for the attack and described it as ""a major operation in Mogadishu against the apostate officials"" through the pro-al Shabaab Radio Andulus and Somalimemo website. Latest reports indicate that the suicide bomber, who detonated the VBIED before blowing herself, was the hotels receptionist. Unconfirmed media reports indicate she came from Holland year ago. Media reports indicate the suicide bomber in Mogadishus Central Hotel was a female who worked in the hotel as receptionist for four months. Saxansaxo, a local Somali daily published in Hargeisa, gave the ladys name as Luul Ahmed Dahir from Netherlands and her husband was one of the al Shabaab leaders killed by US drone strikes in south-central Somalia. The newspaper stated that she hails from Gurgure clan and her father lives in Gabiley, where she sent her six children to, days before the attack."
1/22/15,2015,Civilians,5,1,10,Xamar Weyne,Xamar Weyne,2.0337,45.34,"Two al Shabaab fighters attacked SYL Hotel in Xamar Weyne District in the afternoon of 22/01. The attack started with a VBIED which was driven to the gate of the hotel by suicide bomber. Another al Shabaab fighter engaged in fierce gun battle with the security forces at the hotel but were subsequently killed. The hotel is the venue where the recent IGAD conference was held. The complex attack against the hotel is believed to be related to a planned visit to Mogadishu by the Turkish president, Recep Tayyip Erdogan, reportedly expected to be hosted in the same hotel."
1/4/15,2015,Government,5,1,6,Waaberi,Waaberi,2.0195,45.31,"A SVBIED rammed into a convoy of US-trained Gashaan forces (Alpha Group) in Vinta Una October in Afisiyooni neighbourhood (Waberi District) in the afternoon of 04/01. SNG forces opened fire after the blast to disperse on-lookers. The spokesman for Somali National Security Ministry stated that the SVBIED was in fact being chased by NISA personnel when it rammed into a civilian car and detonated. Other sources indicate that the suicide vehicle was targeting a pick-up truck used by Alpha group to transport al Shabaab suspects arrested in normal security operations. At least four civilians were killed during the blast and six others, mostly Alpha soldiers were injured. It cannot be verified whether two Gashaan soldiers were killed in the blast as some sources claim. Al Shabaab claimed the responsibility for the attack."
12/25/14,2014,AMISOM,10,1,10,Wadajir,Medina,2.0205,45.2897,"A group of al Shabaab fighters (8-10 members) launched a well-organized attack against AMISOM base in Mogadishu known as Xalane base, which is very close to Mogadishu International Airport in the afternoon of 25/12. The attackers were reportedly wearing SNA uniforms, initiated the attack with a hand grenade attack. They managed to breach the base camp and attempted to gain access to critical infrastructure. It took AMISOM soldiers more than 18 hours to clear the compound. Al Shabaab claimed responsibility for the attack as soon as the first shots rang out and later broadcasted that they had killed 17 AMISOM soldiers, including senior AMIOSM commanders and two white mercenaries. AMISOM said that they lost five soldiers and one of their contractors in the attack. The number of al Shabaab killed in the attack were not reported upon, though it was later learned at least some were killed as AMISOM forces later publically displayed the bodies of the enemy dead as an act of discouragement for future attacks. A press release reportedly issued by the al Shabaab, claimed the operation was in revenge for the killing of the al Shabaab leader, Ahmed Aw Godane alias Mukhtar Abu Zubeyr and other Muslims killed in Somalia."
11/1/14,2014,Civilians,1,1,1,Hodan,Hodan,2.0333,45.35,"At least one is dead (possibly two) after a car laden with explosives is detonated in Hodan district. There was no immediate claim of responsibility, though authorities suspect al Shabaab."
