event_date,year,event,strike_by,target,state,region,district,location,latitude,longitude,source,notes,fatalities,civilian_casualties,
19-Nov-18,2018,Remote violence,United States Forces,Al Shabaab,Galmudug,Mudug,Gaalkacyo,Debatscile,5.1667,48.1333,AFRICOM,"19 November. Two separate US airstrikes against al-Shabab militants near Debatscile village in central Somalia. The first killed 27 militants, the second killed 10. Coded as two separate events.",10,0,
3-Nov-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Arare Bridge,-0.2021,42.6078,BBC Monitoring; Alldhacdo,"03 November. The US said it carried out a drone strike in Arare area, Lower Jubba Region, which killed four a Shabaab fighters.",4,0,
29-Oct-18,2018,Remote violence,Unknown,Al Shabaab,Hirshabelle,Hiiraan,Belet Weyne,Ceel Dhere,4.4197,44.8732,Local Sources,29 October. An unknown warplane conducted an air strikes at Ceeldheer village. The target was a hidden al Shabaab base in that area.,0,0,
25-Oct-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Baraawe,Kunyo Aw Gurow,1.4793,44.3793,AFRICOM,25 October. A US air strike killed two al-Shabab fighters and destroyed a vehicle near the southern Somalia village of Kunyo Barrow in Lower Shabelle region.,2,0,
19-Oct-18,2018,Remote violence,Unknown,Unidentified Group,Jubaland,Jubbada Hoose,Kismayo,Bula Haji,-0.8162,41.4292,Radio Shabelle,"On October 19, at least three people, all civilians, were killed and several wounded in an airstrike carried out by unidentified warplanes in Bula-Hajji town of Lower Jubba region.",3,1,
18-Oct-18,2018,Battle-No change of territory,Unknown,Al Shabaab,Jubaland,Gedo,Garbahaarey,Geriley,3.22,42.63,BBC Monitoring; Radio Dalsan,"On October 18, Somalian forces and Al Shabaab fighters clashed in Giriley town of Gedo Region. Air strikes were involved in the battle. Residents of the town reported two civilian fatalities and some injured.",2,1,
15-Oct-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Jamaame,Araara,0.0263,42.6829,Xinhua General News Service,"October 15 (on or around) the US Military Forces carried out airstrikes in cooperation with the Somali government and killed four Al Shabaab militants in the vicinity of Araara near Jamame, Jubbada Hoose.",4,0,
13-Oct-18,2018,Remote violence,United States Forces,Al Shabaab,Galmudug,Mudug,Xarardheere,Xarardheere,4.652,47.858,US Africa Command,13 October 2018: The US Africa command announced an airstrike targeting Al-Shabaab militants in Hardere town that killed at least 60 militants.,60,0,
11-Oct-18,2018,Remote violence,Unknown,Al Shabaab,Jubaland,Gedo,Ceel Waaq,Kukuma,2.4147,40.9935,Local Source Project,"11 October 2018: Unidentified warplanes conducted an airstrike raid against Al-Shabaab targets in Kukuma village (c. 30 km south of Ceel Waaq district, approx. Coordinates used). One civilian was injured in the strike. Approximate coordinates used.",0,0,
11-Oct-18,2018,Remote violence,Unknown,Al Shabaab,Jubaland,Gedo,Garbahaarey,Karbis,3.5172,42.2341,Local Source Project,11 October 2018: An unidentified warplane conducted an airstrike raids on Al-Shabaab/local meeting positions in Kibis village. No info on casualties.,0,0,
9-Oct-18,2018,Remote violence,Unknown,Al Shabaab,Jubaland,Gedo,Garbahaarey,Ceel Cadde,3.0359,41.8674,Local Source Project,9 October 2018: Unidentified warplanes conducted an airstrike in Ceel Caade targeting an Al-Shabaab vehicle garage.,0,0,
9-Oct-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Qunyo Barrow,0.8014,43.3837,US Africa Command,"9 October 2018: US conducted an airstrike in Qunyo Barrow, killing one Al-Shabaab militant.",1,0,
4-Oct-18,2018,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Garbahaarey,Ceel Cadde,3.0359,41.8674,Radio Shabelle,"4 October 2018: Suspected Kenyan warplanes fired airstrike missiles at al-Shabaab targets in El Adde town, Gedo region, wounding 8 people including a known Al-Shabaab member's wife.",0,0,
3-Oct-18,2018,Remote violence,AMISOM,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Basra,2.2991,45.2636,Hiiraan,3 October 2018: AMISOM forces conducted a rocket-strike attack against AS militant gathering near Basra village neighbourhood in Balcad district. No info on casualties.,0,0,
1-Oct-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,-0.1354,42.5491,Goobjoob News,1 October 2018: A US airstrike reportedly killed 9 Al-Shabaab fighters 40 KM northeast of Kismayo. A 10th fighter was also wounded in the attack.,9,0,
28-Sep-18,2018,Remote violence,Unknown,Al Shabaab,South West,Shabeellaha Hoose,Marka,Jilib-Marca,1.7977,44.9076,Local Source Project,28 September 2018: At least three AS militants were killed in an airstrike near Jilib village (Shabeellaha Hoose) conducted by anti-Al-Shabaab forces.,3,0,
21-Sep-18,2018,Battle-No change of territory,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,0.0228,42.3548,News 24,"21 September 2018: US Africa Command reporteldy conducted an airstrike defending US special forces and allied Somali troops in an area located 50 miles North-west of Kismayo, Lower Jubba region. 18 Al-Shabaab fighters were reported killed in the strike, with two others killed by small arms fire from forces on the ground.",20,0,
18-Sep-18,2018,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Dhexe,Saakow,Saakow,1.6394,42.4522,Radio Shabelle; Local Source Project; Calamada; Radio Mogadishu; twitter @USAfricaCommand,"18 September 2018: Foreign fighter jets have reportedly bombed areas of Middle Shabelle region destroying the former Sakow district health center and a second Al-Shabaab controlled building. Al-Shabaab sources claimed that three children were killed, and blamed the strikes on US-operated drones. The US air forces refuted the claim, stating that they had not conducted an airstrike since the 11 September. Radio Mogadishu, which supports the internationally recognized government, stated that the strike killed 12 Al-Shabaab fighters and leaders as they conducted a meeting. Fatalities coded at the most conservative point. ",3,0,
15-Sep-18,2018,Remote violence,Ethiopian National Defence Forces,Al Shabaab,South West,Bay,Buur Xakaba,Lowi-Erjeeg,3.0694,44.518,FANA broadcasting; Local Source Project,15 September 2018: Ethiopian state TV (FANA) has reported that airstrikes conducted by its military killed 70 Al-Shabaab fighters that were reportedly about to attack on of their bases in Lowi-Erjeeg Village (c. 57 km to the South of Teiglow - approx coordinates used). Two vehicles packed with weapons were also reportedly destroyed.,70,0,
13-Sep-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Qoryooley,Mubaarak,1.9167,44.7733,BBC Monitoring,"13 September 2018: The United States Air forces reportedly conducted an airstrike against Al-Shabaab fighters who were pushing forward to attack US-backed Somali forces in the Mubarak area of Lower Shabelle, resulting in the death of two and the injury of a third. *Note fighting occured between Al-Shabaab forces and US-backed forces in the same area the day before.",2,0,
10-Sep-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Jana Cabdalla,0.0442,42.2866,Local Sources,"10 September 2018: Unidentified warplanes (US or Kenyan) conducted an airstrike on suspected AS base near Jana Cabdalle, Afmadow district . Several missiles were fired which destroyed the suspected AS location. Casualties from the attack were unknown. A second source (late breaking) reported 18 deaths.",18,0,
8-Sep-18,2018,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Jilib,0.4833,42.7666,Xinhua General News Service,8 September 2018: Unidentified warplanes (likey from an outside power) reportedly hit Al-Shabaab targets in Jilib area of Middle Jubba. No injuries or fatalities were reported.,0,0,
5-Sep-18,2018,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Dhexe,Buaale,Buaale,1.2448,42.5732,Radio Kulmiye,"Unidentified military airplanes reportedly fired up to 5 missiles at Al-Shabaab targets in Bu'ale town, Middle Juba region. According to the source, an unspecified number of Al-Shabaab fighters were killed in the strikes. Unknown fatalities coded as 10.",10,0,
31-Aug-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Buaale,Buaale,1.2448,42.5732,Twitter,31 August 2018: Unidentified warplanes (US or Kenyan) carried out an airstrike on Al Shabaab positions near Bu'aale. Casualties unknown.,0,0,
29-Aug-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Wanla Weyn,Wanla Weyne,2.6195,44.8936,BBC Monitoring Africa,29 August 2018: A US drone strike on an area located 40 km southwest of Mogadishu reportedly killed three Al-Shabaab fighters. The source specified that no civilians were killed or injured in the strike. Wanla Weyn given as an approximate location to the strike as per the description from the source.,3,0,
26-Aug-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Marka,Gendershe,1.8342,44.9667,Local Source Project,26 August 2018: US forces carried out an airstrike on Al Shabaab insurgents killing 3 in Gendershe town.,3,0,
21-Aug-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Jamaame,Jamaame,0.0692,42.7382,Xinhua General News Service,"21 August 2018: United States drones reportedly carried out an airstrike targeting Al-Shabaab fighters 46 kilometers northeast of the port town of Kismayo, killing two Al-Shabaab linked men in the area. Local sources have suggested that the victims of the strike were part of Al-Shabaab's roadside bomb engineering team.",2,0,
15-Aug-18,2018,Remote violence,United States Forces,Al Shabaab,Hirshabelle,Shabeellaha Dhexe,Jowhar,Jowhar,2.7809,45.4968,Long War Journal,"August, month of. US forces launch an air strike againt an al Shabaab location 74 miles NW of Mogadishu, killing 4.",4,0,
11-Aug-18,2018,Remote violence,Unknown,Al Shabaab,South West,Bay,Buur Xakaba,Leego,2.7144,44.509,Radio Kulmiye,"11 August 2018; An unidentified military warplane reportedly conducted airstrikes in Lego area of Lower Shabelle region, apparently targeting Al-Shabaab bases in the area. No info on casualties. *note, the location given by the source may have been incorrect, Leego town is located in Bay region.",0,0,
11-Aug-18,2018,Remote violence,Kenya Defence Forces,Unidentified Group,Jubaland,Gedo,Ceel Waaq,Laan Quru,3.1148,41.3802,Garowe Online,"11 August 2018: At least 4 civilians were killed by a Kenyan warplane that launched missiles at Laan Quru village, located between El Waq and Beled Hawo in Gedo Regio (approx. coordinates used). According to the source, the killed included a mother and two children as well as an elderly person (the source did not specify who the 4th person was).",4,1,
8-Aug-18,2018,Remote violence,Kenya Defence Forces,Unidentified Group,Jubaland,Gedo,Belet Xaawo,Belet Xaawo,3.7807,41.8943,Calamada,"8 August 2018: A Kenyan military plane reportedly conducted airstrikes in Gadon Dabo town of Balad Hawo district, in Gedo region. Local residents being quoted by a pro-Al-Shabaab source say that the airstrikes killed a local herdsman (civilian).",1,1,
8-Aug-18,2018,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Ceel Waaq,El Wak,2.7333,41.0166,Local Source Project,"8 August 2018: Suspected Kenyan air-force planes launched airstrikes on known Al-Shabaab held territory near Tuulan-qurac town (location unknown, however the source has pointed that it is near El Wak town) in Gedo region. Confirmed report suggested there were casualties, however no exact numbers were reported and unclear if fatalities among them.",0,0,
3-Aug-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Wanla Weyn,Beled Amin,2.5824,44.8055,US Africom; Mareeg.com; VOA,"On 3 August, a U.S. drone strike on Balad Ul-Amin village, Lower Shabelle region, reportedly killed 4 Al-Shabaab linked militants.",4,0,
30-Jul-18,2018,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Garbahaarey,Kibis,3.3314,41.9485,Intelligence Briefs; https://intelligencebriefs.com/kenya-air-force-conducts-air-strike-inside-somalias-gedo-frontier-kills-17-militants/; Mareeg Press,"On 30 July, a Kenyan military warplane reportedly conducted an airstrike on known Al-Shabaab locations near Kibis village (approx 25 km West of Garbaharrey town - approx coordinates used). According to the report, the airstrike killed 17 Al-Shabaab militants and two civilians.",19,0,
16-Jul-18,2018,Remote violence,Unknown,Al Shabaab,South West,Bakool,Xudur,Xawaalaha Faranfarre,4.7554,44.4288,Local Source Project,16 July. An unidentified warplane (likely either US or Kenyan) conducted an airstrike against an al Shabaab position at Xawaalaha Faranfarre grazing area (coordinates approx) (c. 85 km west of Beletweyne town). Additional reports indicated that the warplane targeted a meeting that was being chaired by the al Shabaab governor(waale) of Hiran Region. Casualties cannot be established at the time of reporting. Other reports indicated that three vehicles belonging to al Shabaab were destroyed. The situation in that area was reported to be very tense.,0,0,
15-Jul-18,2018,Remote violence,Unknown,Al Shabaab,Hirshabelle,Hiiraan,Belet Weyne,Bur Daar,4.1833,45.2667,Local Source Project,15 July. Unidentified warplanes (likely US or Kenyan) conduct an airstrike against a group of HVT holding a meeting near Farxanne grazing area in the outskirts of Buq Koosar.,0,0,
11-Jul-18,2018,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Saakow,Jawaare,1.5423,42.7368,Somali Memo; Universal TV,"11 July. Kenyan air forces launch attacks at Jawari (Jawaare) rural area. Somali Memo, which is al Shabaab-backed media, reported that the strikes hit an area inhabited by herders. In a second report by Universal TV, the strikes were directed at an al Shabaab training camp at Hassan Kusow, which is near Jawaare. Somali National Army officials said the air strikes had killed at least eight al-Shabab militants and destroyed two vehicles, including armoured ones.",8,0,
21-Jun-18,2018,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Belet Xaawo,Belet Xaawo,3.7807,41.8943,Local Source Project,"21 June. Report indicates that a Kenyan warplane conducted an airstrike against an al Shabaab position at Tima Cade grazing area (approx. 25km S of Burdhubo district). According to the information, the warplane targeted al Shabaab hideouts.",0,0,
18-Jun-18,2018,Battle-No change of territory,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Bariirre,2.0476,44.8975,Shabelle Media Network,"18 June, on or before. US warplanes (possibly helicopters) landed in Shangare, Awheegle area and Bariirre, abducted seven and killed two members of al Shabaab.",1,0,
17-Jun-18,2018,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Garbahaarey,Ceel Cadde,3.0359,41.8674,Local Source Project; Shabelle Media Network,"17 June. Suspected Kenyan air force conducted an airstrike against al Shabaab positions in Ceel cade village approx. 60km SW of Garbaharrey district. According to the information, the warplane also targeted Cel cadud village, located near Ceel cade village. As a result, three civilians were reportedly injured. There are reports of casualties from al Shabaab fighters but the exact numbers could not be ascertained. 10 fatalities spread over two locations.",5,0,
17-Jun-18,2018,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Garbahaarey,Ceel Gaduud,3.3619,41.8403,Local Source Project; Shabelle Media Network,"17 June. Suspected Kenyan air force conducted an airstrike against al Shabaab positions in Ceel cade village approx. 60km SW of Garbaharrey district. According to the information, the warplane also targeted Cel cadud village, located near Ceel cade village. As a result, three civilians were reportedly injured. There are reports of casualties from al Shabaab fighters but the exact numbers could not be ascertained. 10 fatalities spread over two locations.",5,0,
8-Jun-18,2018,Battle-No change of territory,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Jamaame,Jamaame,0.0692,42.7382,Local Source Project,"08 June. A US air strike targets al Shabaab locations in Jamaame. In the same operation, US and Jubaland forces also raided villages around Jamaame, including Kamsuuma and Kaban. 20 al Shabaab suspects arrested. On 9 June, it was reported that the US and Jubaland forces left Janaame.",0,0,
2-Jun-18,2018,Remote violence,United States Forces,Al Shabaab,Puntland,Bari,Bossaso,Bossaso,11.2837,49.1806,Voice of America,"02 June. US air forces carry out a strike on an al Shabaab position outside of Bosasso. 27 reported dead, none of whom were civilians.",27,0,
30-May-18,2018,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Shimbiray,0.1236,41.2589,Local Source Project,30 May. Kenyan air forces conducted an airstrike against a suspected al Shabaab location at Shimbiray grazing area (c. 35 km south east of Dhobley town - approx coordinates used). Casualties from the attack could not be established at the reporting period.,0,0,
24-May-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Afgooye,2.15,45.116,Local Source Project,24 May. Anti-al Shabaab forces (likely US or Kenyan) conducted an airstrike in Afgoye district killing 10 al Shabaab militants.,10,0,
23-May-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Marcadde,2.0647,45.1086,Local Source Project,23 May. US AFRICOM announces drone strike targeted group of al Shabaab fighters 20km north-west of Mogadishu. 10 militants killed.,10,0,
23-May-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Dhobley,0.4063,41.0124,Local Source Project,23 May. Unknown warplanes (likely either US or Kenya) conducted an airstrike against suspected al Shabaab location at Shimbirole -Gudududow grazing areas (c. 45 km south east of Dhobley town). Casualties from the attack could not be established at the time of reporting.,0,0,
16-May-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Dhobley,0.4063,41.0124,Local Source Project,16 May. Unknown warplane (either US or Kenyan) conducted an airstrike against a suspected al Shabaab location at Abdulle-alim grazing area (c. 20 km south east of Dhobley town). Casualties could not be established at the time of reporting.,0,0,
13-May-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Afgooye,2.15,45.116,Radio Al-Furqaan,"13 May. Al Shabaab media reports that a US airstrike (likely targeting al Shabaab) struck civilians in Afgooye district, causing an unknown number of fatalities and injuries.",10,0,
10-May-18,2018,Battle-No change of territory,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Bariirre,2.0476,44.8975,Radio Risala; Garoweonline; Daily Nation (Kenya); Agence France Presse,"10 May. Between 3-5 al Shabaab officials are killed in a US/Somali airstrike and raid in Bariire. The special forces are believe to have killed five civilian farmers in the process, though the government denies this.",3,1,
9-May-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Afgooye,Awdheegle,1.9833,44.8333,Local Source Project,09 May. Suspected US drone strike targets unidentified al Shabaab position near Aw Dheegle. Outcome and resulting casualty figures unknown.,0,0,
7-May-18,2018,Remote violence,United States Forces,Al Shabaab,Hirshabelle,Hiiraan,Belet Weyne,Ceel Cali,4.195,44.9885,Local Source Project; Garoweonline,07 May. US air forces conducted an airstrike targeting al Shabaab hideouts in Warad and Hararrow (JiilJiiley general area) grazing areas located west of Ceel Cali village. The security official said a number of al-Shabab fighters were killed in the air strikes and destroyed materials in the militants' camp which included technical vehicles and weapons.,10,0,
11-Apr-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Afmadow,Jana Cabdalle,0.0288,42.2882,Local Source Project,"11 April. US AFRICOM conducts airstrike against VBIED in Jana Cabdalle. Casualties unknown, VBIED destroyed.",0,0,
8-Apr-18,2018,Remote violence,United States Forces,Islamic State (Somalia),Puntland,Bari,Qandala,Dadar,11.124,49.87,Local Source Project,08 April. US forces launch an air strike against ISIS figures in Dadar. Four deaths reported.,4,0,
5-Apr-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Dhexe,Jilib,Jilib,0.4833,42.7666,Associated Press,05 April. A US airstrike leaves three al Shabaab dead near Jilib.,3,0,
1-Apr-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,-0.3603,42.5463,Local Source Project,"01 April. An unknown warplane (likely either US or Kenyan) conducted an airstrike against an al Shabaab target near Aboodin, 100 km north west of Kismayo. A civilian was injured and taken to Kismayo hospital for treatment. Additional casualties could not be ascertained at the time of reporting.",0,0,
1-Apr-18,2018,Remote violence,United States Forces,Al Shabaab,Galmudug,Galguduud,Ceel Buur,Ceel Buur,4.6815,46.6234,Local Source Project; Shabelle Media Network (Mogadishu); Somali Memo,01 April. An airstrike was conducted against an al Shabaab base located south west of Ceel-Buur town. Additional reports indicated that 16 al Shabab fighters were killed. A second report claims US responsibility. The Somali Memo claims four civilians dead.,20,0,
31-Mar-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,-0.3603,42.5463,Local Source Project,"31 March. Unidentified warplanes (likely either US or Kenyan) conducted an airstrike against al Shabaab targets near Garoomiste, 95 km west of Kismayo town. Four civilian pastoralists were injured and taken to Kismayo for medical treatment. Initial reports indicated that at least four dead al Shabaab.",4,0,
21-Mar-18,2018,Battle-No change of territory,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Ceel Waaq,Ceel Waaq,2.7352,41.0177,Local Source Project,"21 March. KDF troops conducted an attack against al Shabaab fighters at Wardenle village, 30 km north of Cel Waaq. A warplane (unknown origin, however Kenya operates aircraft in this region) launched an airstrike targeting al Shabaab fighters followed by a KDF infantry troop attack. Casualties from al Shabaab fighters have not been confirmed at the time of reporting.",0,0,
19-Mar-18,2018,Remote violence,United States Forces,Al Shabaab,South West,Shabeellaha Hoose,Qoryooley,Mubaarak,1.9167,44.7733,Associated Press,"19 March. A US airstrike against al Shabaab in Mubaarak. Two reported dead, three injured.",2,0,
17-Mar-18,2018,Remote violence,United States Forces,Al Shabaab,Puntland,Bari,Bossaso,Galgala,10.9901,49.0568,Local Source Project,17 March. US aircraft conduct airstrike against al Shabaab positions in the Galgala. Outcome not known.,0,0,
14-Mar-18,2018,Remote violence,Kenya Defence Forces,Al Shabaab,Jubaland,Gedo,Ceel Waaq,Ceel Waaq,2.7352,41.0177,Universal TV,14 March. Al Shabaab claims an explosive targeting Kenyan forces in Ceel Waaq killed two. Kenya military command conducted an air strike in the area either before or after the incident.,2,0,
13-Mar-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Jamaame,Kamsuuma,0.2494,42.7751,Local Source Project; Shabelle Media Network,13 March. An explosive drone (likely US) strikes an al Shabaab position during the overnight hours. Causalities could not known at the time of reporting. The Shabelle Media Network claims the strike occurred 12/03 and hit a civilian truck.,0,0,
12-Mar-18,2018,Remote violence,United States Forces,Al Shabaab,Jubaland,Jubbada Hoose,Jamaame,Buur Koy,-0.0295,42.5985,Local Source Project,12 March. A US strike targets al Shabaab checkpoint between Kamsuuma and Buur Koy. Casualties unknown.,0,0,
8-Mar-18,2018,Remote violence,Unknown,Al Shabaab,Jubaland,Jubbada Hoose,Kismayo,Kismayo,-0.3603,42.5463,Local Source Project,"08 March. Unidentified aircraft conduct strikes against al Shabaab locations in Balay and Ruman grazing areas, 160 km south west of Kismayo town. Causalities not known.",0,0,
